source	gene ID	gene name	orthologs
OrthoMCL	DDB_G0274131	act17	M.musculus:ENSMUSP00000031564 | M.musculus:ENSMUSP00000034453 | M.musculus:ENSMUSP00000048218 | M.musculus:ENSMUSP00000052086 | M.musculus:ENSMUSP00000074658 | M.musculus:ENSMUSP00000087736 | M.musculus:ENSMUSP00000101823
InParanoid	DDB_G0272600	DDB_G0272600	M.musculus:ENSMUSP00000103281
OrthoMCL	DDB_G0272785	DDB_G0272785	M.musculus:ENSMUSP00000021757
InParanoid	DDB_G0272785	DDB_G0272785	M.musculus:ENSMUSP00000021757
OrthoMCL	DDB_G0273623	hspE-2	M.musculus:ENSMUSP00000007248 | M.musculus:ENSMUSP00000015800 | M.musculus:ENSMUSP00000028222 | M.musculus:ENSMUSP00000073748 | M.musculus:ENSMUSP00000079306 | M.musculus:ENSMUSP00000084586 | M.musculus:ENSMUSP00000084589
OrthoMCL	DDB_G0273977	srp14-2	M.musculus:ENSMUSP00000009693
InParanoid	DDB_G0273977	srp14-2	M.musculus:ENSMUSP00000009693
OrthoMCL	DDB_G0272883	ksrA-1	M.musculus:ENSMUSP00000010049
InParanoid	DDB_G0272883	ksrA-1	M.musculus:ENSMUSP00000010049
OrthoMCL	DDB_G0276411	mrt4	M.musculus:ENSMUSP00000099561
InParanoid	DDB_G0276411	mrt4	M.musculus:ENSMUSP00000099561
OrthoMCL	DDB_G0275381	DDB_G0275381	M.musculus:ENSMUSP00000068508 | M.musculus:ENSMUSP00000029385
OrthoMCL	DDB_G0274017	iptC-2	M.musculus:ENSMUSP00000099709
OrthoMCL	DDB_G0278955	DDB_G0278955	M.musculus:ENSMUSP00000030720
OrthoMCL	DDB_G0276885	casK	M.musculus:ENSMUSP00000096829 | M.musculus:ENSMUSP00000055919
InParanoid	DDB_G0276885	casK	M.musculus:ENSMUSP00000096829
OrthoMCL	DDB_G0275809	msh2	M.musculus:ENSMUSP00000024967
InParanoid	DDB_G0275809	msh2	M.musculus:ENSMUSP00000024967
OrthoMCL	DDB_G0275125	plbF	M.musculus:ENSMUSP00000031597 | M.musculus:ENSMUSP00000032336
OrthoMCL	DDB_G0275815	nramp2	M.musculus:ENSMUSP00000023774 | M.musculus:ENSMUSP00000027368
OrthoMCL	DDB_G0276443	usp7	M.musculus:ENSMUSP00000087880
InParanoid	DDB_G0276443	usp7	M.musculus:ENSMUSP00000087880
OrthoMCL	DDB_G0276453	vilB	M.musculus:ENSMUSP00000002640 | M.musculus:ENSMUSP00000026500 | M.musculus:ENSMUSP00000027366 | M.musculus:ENSMUSP00000028239 | M.musculus:ENSMUSP00000061731
InParanoid	DDB_G0276453	vilB	M.musculus:ENSMUSP00000026500
OrthoMCL	DDB_G0274885	cdc73	M.musculus:ENSMUSP00000018337
InParanoid	DDB_G0274885	cdc73	M.musculus:ENSMUSP00000018337
OrthoMCL	DDB_G0272362	gtf2h2	M.musculus:ENSMUSP00000104975
InParanoid	DDB_G0272362	gtf2h2	M.musculus:ENSMUSP00000104975
OrthoMCL	DDB_G0276935	DDB_G0276935	M.musculus:ENSMUSP00000035610 | M.musculus:ENSMUSP00000096459
InParanoid	DDB_G0276935	DDB_G0276935	M.musculus:ENSMUSP00000096459
OrthoMCL	DDB_G0274041	DDB_G0274041	M.musculus:ENSMUSP00000027991
OrthoMCL	DDB_G0273509	DDB_G0273509	M.musculus:ENSMUSP00000017530
OrthoMCL	DDB_G0275847	DDB_G0275847	M.musculus:ENSMUSP00000022341
InParanoid	DDB_G0275847	DDB_G0275847	M.musculus:ENSMUSP00000022341
OrthoMCL	DDB_G0275851	DDB_G0275851	M.musculus:ENSMUSP00000072929
OrthoMCL	DDB_G0275853	DDB_G0275853	M.musculus:ENSMUSP00000107364
InParanoid	DDB_G0275853	DDB_G0275853	M.musculus:ENSMUSP00000107364
OrthoMCL	DDB_G0274079	dohh-2	M.musculus:ENSMUSP00000072534
InParanoid	DDB_G0274079	dohh-2	M.musculus:ENSMUSP00000072534
OrthoMCL	DDB_G0272344	hd	M.musculus:ENSMUSP00000078945
InParanoid	DDB_G0272344	hd	M.musculus:ENSMUSP00000078945
OrthoMCL	DDB_G0276481	ercc8	M.musculus:ENSMUSP00000059211
OrthoMCL	DDB_G0278311	DDB_G0278311	M.musculus:ENSMUSP00000033700 | M.musculus:ENSMUSP00000110248 | M.musculus:ENSMUSP00000111316
InParanoid	DDB_G0278311	DDB_G0278311	M.musculus:ENSMUSP00000111316
OrthoMCL	DDB_G0277051	DDB_G0277051	M.musculus:ENSMUSP00000041202 | M.musculus:ENSMUSP00000086565
InParanoid	DDB_G0277051	DDB_G0277051	M.musculus:ENSMUSP00000041202
OrthoMCL	DDB_G0277061	dph3	M.musculus:ENSMUSP00000068491
OrthoMCL	DDB_G0276471	DDB_G0276471	M.musculus:ENSMUSP00000098912 | M.musculus:ENSMUSP00000019939
OrthoMCL	DDB_G0272386	DDB_G0272386	M.musculus:ENSMUSP00000111345
OrthoMCL	DDB_G0273909	psmB4-2	M.musculus:ENSMUSP00000005923
InParanoid	DDB_G0273909	psmB4-2	M.musculus:ENSMUSP00000005923
OrthoMCL	DDB_G0275239	zizC	M.musculus:ENSMUSP00000033419 | M.musculus:ENSMUSP00000095286 | M.musculus:ENSMUSP00000097871 | M.musculus:ENSMUSP00000025831 | M.musculus:ENSMUSP00000034728 | M.musculus:ENSMUSP00000102629
OrthoMCL	DDB_G0273727	DDB_G0273727	M.musculus:ENSMUSP00000112304
InParanoid	DDB_G0273727	DDB_G0273727	M.musculus:ENSMUSP00000112304
OrthoMCL	DDB_G0274399	DDB_G0274399	M.musculus:ENSMUSP00000051492
OrthoMCL	DDB_G0275493	cycB	M.musculus:ENSMUSP00000029270 | M.musculus:ENSMUSP00000111418 | M.musculus:ENSMUSP00000071989 | M.musculus:ENSMUSP00000103632 | M.musculus:ENSMUSP00000034742 | M.musculus:ENSMUSP00000029368
InParanoid	DDB_G0275493	cycB	M.musculus:ENSMUSP00000034742
OrthoMCL	DDB_G0278061	tmem115	M.musculus:ENSMUSP00000010189
InParanoid	DDB_G0278061	tmem115	M.musculus:ENSMUSP00000010189
OrthoMCL	DDB_G0276413	DDB_G0276413	M.musculus:ENSMUSP00000034079
InParanoid	DDB_G0276413	DDB_G0276413	M.musculus:ENSMUSP00000034079
OrthoMCL	DDB_G0272799	icmA-1	M.musculus:ENSMUSP00000043390
InParanoid	DDB_G0272799	icmA-1	M.musculus:ENSMUSP00000043390
OrthoMCL	DDB_G0277677	rpb11	M.musculus:ENSMUSP00000038505
InParanoid	DDB_G0277677	rpb11	M.musculus:ENSMUSP00000038505
OrthoMCL	DDB_G0276541	DDB_G0276541	M.musculus:ENSMUSP00000020383 | M.musculus:ENSMUSP00000025482 | M.musculus:ENSMUSP00000029257 | M.musculus:ENSMUSP00000042215 | M.musculus:ENSMUSP00000046444 | M.musculus:ENSMUSP00000079238 | M.musculus:ENSMUSP00000088779 | M.musculus:ENSMUSP00000099066 | M.musculus:ENSMUSP00000103019 | M.musculus:ENSMUSP00000103575
InParanoid	DDB_G0274841	fncM	M.musculus:ENSMUSP00000054797
OrthoMCL	DDB_G0277033	DDB_G0277033	M.musculus:ENSMUSP00000086094 | M.musculus:ENSMUSP00000100868
InParanoid	DDB_G0277033	DDB_G0277033	M.musculus:ENSMUSP00000100868
OrthoMCL	DDB_G0274955	etnkA	M.musculus:ENSMUSP00000092134 | M.musculus:ENSMUSP00000032413
InParanoid	DDB_G0274955	etnkA	M.musculus:ENSMUSP00000092134
InParanoid	DDB_G0278445	mpl3	M.musculus:ENSMUSP00000108438
OrthoMCL	DDB_G0278651	manE	M.musculus:ENSMUSP00000083928 | M.musculus:ENSMUSP00000095949
OrthoMCL	DDB_G0278773	DDB_G0278773	M.musculus:ENSMUSP00000024897 | M.musculus:ENSMUSP00000064699
InParanoid	DDB_G0278773	DDB_G0278773	M.musculus:ENSMUSP00000064699
OrthoMCL	DDB_G0280057	grp94	M.musculus:ENSMUSP00000020238 | M.musculus:ENSMUSP00000021698 | M.musculus:ENSMUSP00000024739
InParanoid	DDB_G0280057	grp94	M.musculus:ENSMUSP00000020238
OrthoMCL	DDB_G0279265	DDB_G0279265	M.musculus:ENSMUSP00000029090
InParanoid	DDB_G0279265	DDB_G0279265	M.musculus:ENSMUSP00000029090
OrthoMCL	DDB_G0278189	ints11	M.musculus:ENSMUSP00000030901
InParanoid	DDB_G0278189	ints11	M.musculus:ENSMUSP00000030901
OrthoMCL	DDB_G0275459	DDB_G0275459	M.musculus:ENSMUSP00000027438
OrthoMCL	DDB_G0275473	rps24	M.musculus:ENSMUSP00000108003
InParanoid	DDB_G0275473	rps24	M.musculus:ENSMUSP00000108003
OrthoMCL	DDB_G0277337	DDB_G0277337	M.musculus:ENSMUSP00000071788 | M.musculus:ENSMUSP00000041793
InParanoid	DDB_G0279093	DDB_G0279093	M.musculus:ENSMUSP00000089173
OrthoMCL	DDB_G0279809	DDB_G0279809	M.musculus:ENSMUSP00000019065
OrthoMCL	DDB_G0278789	DDB_G0278789	M.musculus:ENSMUSP00000053842
InParanoid	DDB_G0278789	DDB_G0278789	M.musculus:ENSMUSP00000053842
OrthoMCL	DDB_G0279375	DDB_G0279375	M.musculus:ENSMUSP00000113553
InParanoid	DDB_G0279375	DDB_G0279375	M.musculus:ENSMUSP00000113553
OrthoMCL	DDB_G0277221	chcA	M.musculus:ENSMUSP00000050220
InParanoid	DDB_G0277221	chcA	M.musculus:ENSMUSP00000050220
OrthoMCL	DDB_G0276787	DDB_G0276787	M.musculus:ENSMUSP00000092180
OrthoMCL	DDB_G0282931	abcB6	M.musculus:ENSMUSP00000033695 | M.musculus:ENSMUSP00000027396
InParanoid	DDB_G0282931	abcB6	M.musculus:ENSMUSP00000027396
OrthoMCL	DDB_G0278849	etfdh	M.musculus:ENSMUSP00000029386
InParanoid	DDB_G0278849	etfdh	M.musculus:ENSMUSP00000029386
OrthoMCL	DDB_G0278373	DDB_G0278373	M.musculus:ENSMUSP00000060730
InParanoid	DDB_G0278863	fray1	M.musculus:ENSMUSP00000042155
OrthoMCL	DDB_G0278983	imp3	M.musculus:ENSMUSP00000034827
InParanoid	DDB_G0278983	imp3	M.musculus:ENSMUSP00000034827
OrthoMCL	DDB_G0277245	DDB_G0277245	M.musculus:ENSMUSP00000104087
OrthoMCL	DDB_G0276835	glnA1	M.musculus:ENSMUSP00000059871
OrthoMCL	DDB_G0278069	gacII	M.musculus:ENSMUSP00000090681 | M.musculus:ENSMUSP00000102050
InParanoid	DDB_G0278069	gacII	M.musculus:ENSMUSP00000107587
OrthoMCL	DDB_G0274809	mppA1	M.musculus:ENSMUSP00000075762
InParanoid	DDB_G0274809	mppA1	M.musculus:ENSMUSP00000075762
OrthoMCL	DDB_G0276567	DDB_G0276567	M.musculus:ENSMUSP00000034878 | M.musculus:ENSMUSP00000112989
InParanoid	DDB_G0276567	DDB_G0276567	M.musculus:ENSMUSP00000034878
OrthoMCL	DDB_G0278153	tmem111	M.musculus:ENSMUSP00000032425
InParanoid	DDB_G0278153	tmem111	M.musculus:ENSMUSP00000032425
OrthoMCL	DDB_G0278761	DDB_G0278761	M.musculus:ENSMUSP00000049404
InParanoid	DDB_G0278761	DDB_G0278761	M.musculus:ENSMUSP00000049404
OrthoMCL	DDB_G0278783	elp4	M.musculus:ENSMUSP00000028588
InParanoid	DDB_G0278783	elp4	M.musculus:ENSMUSP00000028588
OrthoMCL	DDB_G0277019	wdr36	M.musculus:ENSMUSP00000052465
InParanoid	DDB_G0277019	wdr36	M.musculus:ENSMUSP00000052465
OrthoMCL	DDB_G0282793	wdr61	M.musculus:ENSMUSP00000113560
InParanoid	DDB_G0282793	wdr61	M.musculus:ENSMUSP00000113560
OrthoMCL	DDB_G0281099	DDB_G0281099	M.musculus:ENSMUSP00000020027 | M.musculus:ENSMUSP00000096706 | M.musculus:ENSMUSP00000075100
InParanoid	DDB_G0281099	DDB_G0281099	M.musculus:ENSMUSP00000020027
OrthoMCL	DDB_G0280067	DDB_G0280067	M.musculus:ENSMUSP00000051838
OrthoMCL	DDB_G0279187	cprG	M.musculus:ENSMUSP00000021933 | M.musculus:ENSMUSP00000036801 | M.musculus:ENSMUSP00000111640 | M.musculus:ENSMUSP00000015667 | M.musculus:ENSMUSP00000105433
OrthoMCL	DDB_G0281683	msh3	M.musculus:ENSMUSP00000005503 | M.musculus:ENSMUSP00000022220
InParanoid	DDB_G0281683	msh3	M.musculus:ENSMUSP00000022220
OrthoMCL	DDB_G0280459	abcC15	M.musculus:ENSMUSP00000002850 | M.musculus:ENSMUSP00000026208 | M.musculus:ENSMUSP00000033123 | M.musculus:ENSMUSP00000038041 | M.musculus:ENSMUSP00000042186 | M.musculus:ENSMUSP00000078158 | M.musculus:ENSMUSP00000079014 | M.musculus:ENSMUSP00000097743 | M.musculus:ENSMUSP00000098390 | M.musculus:ENSMUSP00000103436
OrthoMCL	DDB_G0280843	dgk	M.musculus:ENSMUSP00000027478
InParanoid	DDB_G0280843	dgk	M.musculus:ENSMUSP00000027478
InParanoid	DDB_G0285591	cmbl	M.musculus:ENSMUSP00000070314
OrthoMCL	DDB_G0282297	forB	M.musculus:ENSMUSP00000022599 | M.musculus:ENSMUSP00000025337 | M.musculus:ENSMUSP00000094053
OrthoMCL	DDB_G0278601	DDB_G0278601	M.musculus:ENSMUSP00000023431
InParanoid	DDB_G0278601	DDB_G0278601	M.musculus:ENSMUSP00000023431
OrthoMCL	DDB_G0279635	DDB_G0279635	M.musculus:ENSMUSP00000021101
InParanoid	DDB_G0279635	DDB_G0279635	M.musculus:ENSMUSP00000021101
InParanoid	DDB_G0277913	gefJ	M.musculus:ENSMUSP00000034912 | M.musculus:ENSMUSP00000022221
OrthoMCL	DDB_G0277943	parG	M.musculus:ENSMUSP00000022470
InParanoid	DDB_G0277943	parG	M.musculus:ENSMUSP00000022470
OrthoMCL	DDB_G0279345	amfr	M.musculus:ENSMUSP00000052258
InParanoid	DDB_G0279345	amfr	M.musculus:ENSMUSP00000052258
OrthoMCL	DDB_G0280163	DDB_G0280163	M.musculus:ENSMUSP00000015017
OrthoMCL	DDB_G0280173	isca1	M.musculus:ENSMUSP00000054858 | M.musculus:ENSMUSP00000100547
InParanoid	DDB_G0280173	isca1	M.musculus:ENSMUSP00000100547 | M.musculus:ENSMUSP00000054858
OrthoMCL	DDB_G0280465	DDB_G0280465	M.musculus:ENSMUSP00000029610
InParanoid	DDB_G0280465	DDB_G0280465	M.musculus:ENSMUSP00000029610
OrthoMCL	DDB_G0279961	drpp40	M.musculus:ENSMUSP00000021855
InParanoid	DDB_G0279961	drpp40	M.musculus:ENSMUSP00000021855
OrthoMCL	DDB_G0278713	prosc	M.musculus:ENSMUSP00000033875
InParanoid	DDB_G0278713	prosc	M.musculus:ENSMUSP00000033875
OrthoMCL	DDB_G0281429	DDB_G0281429	M.musculus:ENSMUSP00000109761
InParanoid	DDB_G0281429	DDB_G0281429	M.musculus:ENSMUSP00000109761
InParanoid	DDB_G0281431	DDB_G0281431	M.musculus:ENSMUSP00000078588
OrthoMCL	DDB_G0280609	ost4	M.musculus:ENSMUSP00000036172
InParanoid	DDB_G0280609	ost4	M.musculus:ENSMUSP00000036172
OrthoMCL	DDB_G0279313	pigN	M.musculus:ENSMUSP00000069969
InParanoid	DDB_G0279313	pigN	M.musculus:ENSMUSP00000069969
OrthoMCL	DDB_G0277545	cyp518A1	M.musculus:ENSMUSP00000015368 | M.musculus:ENSMUSP00000030299 | M.musculus:ENSMUSP00000030303 | M.musculus:ENSMUSP00000030305 | M.musculus:ENSMUSP00000050464 | M.musculus:ENSMUSP00000006094 | M.musculus:ENSMUSP00000014525 | M.musculus:ENSMUSP00000023083 | M.musculus:ENSMUSP00000071064 | M.musculus:ENSMUSP00000072555 | M.musculus:ENSMUSP00000086528 | M.musculus:ENSMUSP00000086530 | M.musculus:ENSMUSP00000105141 | M.musculus:ENSMUSP00000034860 | M.musculus:ENSMUSP00000034865 | M.musculus:ENSMUSP00000005477 | M.musculus:ENSMUSP00000005669 | M.musculus:ENSMUSP00000076578 | M.musculus:ENSMUSP00000077021 | M.musculus:ENSMUSP00000080846 | M.musculus:ENSMUSP00000024894 | M.musculus:ENSMUSP00000003137 | M.musculus:ENSMUSP00000025966 | M.musculus:ENSMUSP00000025968 | M.musculus:ENSMUSP00000025969 | M.musculus:ENSMUSP00000044722 | M.musculus:ENSMUSP00000045362 | M.musculus:ENSMUSP00000048284 | M.musculus:ENSMUSP00000065796 | M.musculus:ENSMUSP00000079065 | M.musculus:ENSMUSP00000084487 | M.musculus:ENSMUSP00000084489 | M.musculus:ENSMUSP00000097071 | M.musculus:ENSMUSP00000026211 | M.musculus:ENSMUSP00000060584 | M.musculus:ENSMUSP00000101944
OrthoMCL	DDB_G0280977	abcC10	M.musculus:ENSMUSP00000002850 | M.musculus:ENSMUSP00000026208 | M.musculus:ENSMUSP00000033123 | M.musculus:ENSMUSP00000038041 | M.musculus:ENSMUSP00000042186 | M.musculus:ENSMUSP00000078158 | M.musculus:ENSMUSP00000079014 | M.musculus:ENSMUSP00000097743 | M.musculus:ENSMUSP00000098390 | M.musculus:ENSMUSP00000103436
OrthoMCL	DDB_G0279851	DDB_G0279851	M.musculus:ENSMUSP00000090647 | M.musculus:ENSMUSP00000108170
InParanoid	DDB_G0279851	DDB_G0279851	M.musculus:ENSMUSP00000090647
OrthoMCL	DDB_G0281229	pnkp	M.musculus:ENSMUSP00000103508
InParanoid	DDB_G0281229	pnkp	M.musculus:ENSMUSP00000103508
OrthoMCL	DDB_G0279413	pkaR	M.musculus:ENSMUSP00000020932 | M.musculus:ENSMUSP00000026973 | M.musculus:ENSMUSP00000035220 | M.musculus:ENSMUSP00000003079
InParanoid	DDB_G0279413	pkaR	M.musculus:ENSMUSP00000026973
OrthoMCL	DDB_G0281239	impa1	M.musculus:ENSMUSP00000068174 | M.musculus:ENSMUSP00000025403
InParanoid	DDB_G0281239	impa1	M.musculus:ENSMUSP00000068174
OrthoMCL	DDB_G0279997	rpl18	M.musculus:ENSMUSP00000103365
InParanoid	DDB_G0279997	rpl18	M.musculus:ENSMUSP00000103365
OrthoMCL	DDB_G0281209	DDB_G0281209	M.musculus:ENSMUSP00000111345
OrthoMCL	DDB_G0279593	DDB_G0279593	M.musculus:ENSMUSP00000024816
InParanoid	DDB_G0279593	DDB_G0279593	M.musculus:ENSMUSP00000024816
OrthoMCL	DDB_G0280077	bloc1s1	M.musculus:ENSMUSP00000026405
InParanoid	DDB_G0280077	bloc1s1	M.musculus:ENSMUSP00000026405
InParanoid	DDB_G0280079	ada2	M.musculus:ENSMUSP00000103735
OrthoMCL	DDB_G0279537	ap3d1	M.musculus:ENSMUSP00000020420
InParanoid	DDB_G0279537	ap3d1	M.musculus:ENSMUSP00000020420
OrthoMCL	DDB_G0281541	DDB_G0281541	M.musculus:ENSMUSP00000032414 | M.musculus:ENSMUSP00000104996
InParanoid	DDB_G0281541	DDB_G0281541	M.musculus:ENSMUSP00000104996
OrthoMCL	DDB_G0281111	DDB_G0281111	M.musculus:ENSMUSP00000099758
InParanoid	DDB_G0281111	DDB_G0281111	M.musculus:ENSMUSP00000099758
OrthoMCL	DDB_G0279441	ipo13B	M.musculus:ENSMUSP00000102025
OrthoMCL	DDB_G0277145	pkaD	M.musculus:ENSMUSP00000099991
OrthoMCL	DDB_G0277149	DDB_G0277149	M.musculus:ENSMUSP00000022962
InParanoid	DDB_G0277149	DDB_G0277149	M.musculus:ENSMUSP00000022962
InParanoid	DDB_G0280113	anapc5	M.musculus:ENSMUSP00000083393
OrthoMCL	DDB_G0279321	DDB_G0279321	M.musculus:ENSMUSP00000058785 | M.musculus:ENSMUSP00000080085
InParanoid	DDB_G0279321	DDB_G0279321	M.musculus:ENSMUSP00000080085
InParanoid	DDB_G0280529	cstf2	M.musculus:ENSMUSP00000093831
OrthoMCL	DDB_G0279737	top2mt	M.musculus:ENSMUSP00000017629 | M.musculus:ENSMUSP00000068896
OrthoMCL	DDB_G0281711	ddx27	M.musculus:ENSMUSP00000018143
InParanoid	DDB_G0281711	ddx27	M.musculus:ENSMUSP00000018143
OrthoMCL	DDB_G0281799	abkB	M.musculus:ENSMUSP00000098724 | M.musculus:ENSMUSP00000105452
OrthoMCL	DDB_G0281749	DDB_G0281749	M.musculus:ENSMUSP00000043000
InParanoid	DDB_G0281749	DDB_G0281749	M.musculus:ENSMUSP00000043000
InParanoid	DDB_G0283861	DDB_G0283861	M.musculus:ENSMUSP00000096475
OrthoMCL	DDB_G0282979	efa1G	M.musculus:ENSMUSP00000093955
InParanoid	DDB_G0282979	efa1G	M.musculus:ENSMUSP00000093955
OrthoMCL	DDB_G0282971	DDB_G0282971	M.musculus:ENSMUSP00000027800 | M.musculus:ENSMUSP00000038573 | M.musculus:ENSMUSP00000105816
InParanoid	DDB_G0282971	DDB_G0282971	M.musculus:ENSMUSP00000038573 | M.musculus:ENSMUSP00000027800
OrthoMCL	DDB_G0283601	pppA	M.musculus:ENSMUSP00000007708 | M.musculus:ENSMUSP00000034560
InParanoid	DDB_G0283601	pppA	M.musculus:ENSMUSP00000007708
OrthoMCL	DDB_G0281351	DDB_G0281351	M.musculus:ENSMUSP00000020954
InParanoid	DDB_G0281351	DDB_G0281351	M.musculus:ENSMUSP00000020954
OrthoMCL	DDB_G0283877	dus2l	M.musculus:ENSMUSP00000034375
InParanoid	DDB_G0283877	dus2l	M.musculus:ENSMUSP00000034375
OrthoMCL	DDB_G0286181	romo1	M.musculus:ENSMUSP00000105226
InParanoid	DDB_G0286181	romo1	M.musculus:ENSMUSP00000105226
OrthoMCL	DDB_G0281661	gtaI	M.musculus:ENSMUSP00000100041
OrthoMCL	DDB_G0280971	lvsC	M.musculus:ENSMUSP00000048796 | M.musculus:ENSMUSP00000091295 | M.musculus:ENSMUSP00000049393
InParanoid	DDB_G0280971	lvsC	M.musculus:ENSMUSP00000103261
OrthoMCL	DDB_G0282723	tmem104	M.musculus:ENSMUSP00000056805
InParanoid	DDB_G0282723	tmem104	M.musculus:ENSMUSP00000056805
InParanoid	DDB_G0281559	DDB_G0281559	M.musculus:ENSMUSP00000047589
InParanoid	DDB_G0279139	DDB_G0279139	M.musculus:ENSMUSP00000114028
InParanoid	DDB_G0282891	pakG	M.musculus:ENSMUSP00000072091
OrthoMCL	DDB_G0285711	DDB_G0285711	M.musculus:ENSMUSP00000025417
OrthoMCL	DDB_G0282397	mbtps1	M.musculus:ENSMUSP00000095965
InParanoid	DDB_G0282397	mbtps1	M.musculus:ENSMUSP00000095965
OrthoMCL	DDB_G0282409	DDB_G0282409	M.musculus:ENSMUSP00000096982
OrthoMCL	DDB_G0284973	DDB_G0284973	M.musculus:ENSMUSP00000001412
InParanoid	DDB_G0284973	DDB_G0284973	M.musculus:ENSMUSP00000001412
OrthoMCL	DDB_G0285555	DDB_G0285555	M.musculus:ENSMUSP00000034346 | M.musculus:ENSMUSP00000036258 | M.musculus:ENSMUSP00000058567 | M.musculus:ENSMUSP00000063005 | M.musculus:ENSMUSP00000075722 | M.musculus:ENSMUSP00000034355 | M.musculus:ENSMUSP00000049315 | M.musculus:ENSMUSP00000034172 | M.musculus:ENSMUSP00000034173 | M.musculus:ENSMUSP00000034178 | M.musculus:ENSMUSP00000034189 | M.musculus:ENSMUSP00000037555 | M.musculus:ENSMUSP00000092836 | M.musculus:ENSMUSP00000096100 | M.musculus:ENSMUSP00000105210
OrthoMCL	DDB_G0284539	DDB_G0284539	M.musculus:ENSMUSP00000001611
InParanoid	DDB_G0284539	DDB_G0284539	M.musculus:ENSMUSP00000001611
OrthoMCL	DDB_G0284117	phbB	M.musculus:ENSMUSP00000004375
InParanoid	DDB_G0284117	phbB	M.musculus:ENSMUSP00000004375
OrthoMCL	DDB_G0280995	mps1	M.musculus:ENSMUSP00000064839
OrthoMCL	DDB_G0282763	spf27	M.musculus:ENSMUSP00000005830
InParanoid	DDB_G0282763	spf27	M.musculus:ENSMUSP00000005830
OrthoMCL	DDB_G0284577	DDB_G0284577	M.musculus:ENSMUSP00000100902
InParanoid	DDB_G0284577	DDB_G0284577	M.musculus:ENSMUSP00000100902
InParanoid	DDB_G0285735	DDB_G0285735	M.musculus:ENSMUSP00000049759
OrthoMCL	DDB_G0281845	DDB_G0281845	M.musculus:ENSMUSP00000033700 | M.musculus:ENSMUSP00000110248 | M.musculus:ENSMUSP00000111316
OrthoMCL	DDB_G0283177	DDB_G0283177	M.musculus:ENSMUSP00000099515
InParanoid	DDB_G0283177	DDB_G0283177	M.musculus:ENSMUSP00000099515
OrthoMCL	DDB_G0283789	dimt1l	M.musculus:ENSMUSP00000022203 | M.musculus:ENSMUSP00000035291
InParanoid	DDB_G0283789	dimt1l	M.musculus:ENSMUSP00000022203
OrthoMCL	DDB_G0284957	DDB_G0284957	M.musculus:ENSMUSP00000006178
InParanoid	DDB_G0284957	DDB_G0284957	M.musculus:ENSMUSP00000006178
OrthoMCL	DDB_G0284961	DDB_G0284961	M.musculus:ENSMUSP00000106720
InParanoid	DDB_G0284961	DDB_G0284961	M.musculus:ENSMUSP00000106720
OrthoMCL	DDB_G0284583	glyS	M.musculus:ENSMUSP00000003572
InParanoid	DDB_G0284583	glyS	M.musculus:ENSMUSP00000003572
OrthoMCL	DDB_G0283085	D2	M.musculus:ENSMUSP00000034346 | M.musculus:ENSMUSP00000036258 | M.musculus:ENSMUSP00000058567 | M.musculus:ENSMUSP00000063005 | M.musculus:ENSMUSP00000075722 | M.musculus:ENSMUSP00000034355 | M.musculus:ENSMUSP00000049315 | M.musculus:ENSMUSP00000034172 | M.musculus:ENSMUSP00000034173 | M.musculus:ENSMUSP00000034178 | M.musculus:ENSMUSP00000034189 | M.musculus:ENSMUSP00000037555 | M.musculus:ENSMUSP00000092836 | M.musculus:ENSMUSP00000096100 | M.musculus:ENSMUSP00000105210
OrthoMCL	DDB_G0283663	ppiD	M.musculus:ENSMUSP00000029382
InParanoid	DDB_G0283663	ppiD	M.musculus:ENSMUSP00000029382
OrthoMCL	DDB_G0283293	DDB_G0283293	M.musculus:ENSMUSP00000043821
InParanoid	DDB_G0283293	DDB_G0283293	M.musculus:ENSMUSP00000043821
OrthoMCL	DDB_G0284825	DDB_G0284825	M.musculus:ENSMUSP00000082503 | M.musculus:ENSMUSP00000105613
InParanoid	DDB_G0284825	DDB_G0284825	M.musculus:ENSMUSP00000082503
OrthoMCL	DDB_G0284395	DDB_G0284395	M.musculus:ENSMUSP00000036996 | M.musculus:ENSMUSP00000003843 | M.musculus:ENSMUSP00000008907 | M.musculus:ENSMUSP00000037949
InParanoid	DDB_G0284395	DDB_G0284395	M.musculus:ENSMUSP00000003843
InParanoid	DDB_G0283267	shkA	M.musculus:ENSMUSP00000040307
OrthoMCL	DDB_G0284833	exoc4	M.musculus:ENSMUSP00000051965
InParanoid	DDB_G0284833	exoc4	M.musculus:ENSMUSP00000051965
OrthoMCL	DDB_G0284055	DDB_G0284055	M.musculus:ENSMUSP00000036378 | M.musculus:ENSMUSP00000090088 | M.musculus:ENSMUSP00000113571
InParanoid	DDB_G0284055	DDB_G0284055	M.musculus:ENSMUSP00000061643
InParanoid	DDB_G0283737	urm1	M.musculus:ENSMUSP00000088676
InParanoid	DDB_G0284643	DDB_G0284643	M.musculus:ENSMUSP00000078886
OrthoMCL	DDB_G0283113	eriA	M.musculus:ENSMUSP00000033927
InParanoid	DDB_G0283113	eriA	M.musculus:ENSMUSP00000033927
InParanoid	DDB_G0281917	DDB_G0281917	M.musculus:ENSMUSP00000046168
OrthoMCL	DDB_G0285201	DDB_G0285201	M.musculus:ENSMUSP00000031805
InParanoid	DDB_G0285201	DDB_G0285201	M.musculus:ENSMUSP00000031805
